"id","name","description","price","sourceURL"
"0","Laptop Asus Vivobook 15 X1504ZA-NJ517W i5-1235U/16GB/512GB/15.6\" FHD/Win11","","13790000","/may-tinh-xach-tay/asus-vivobook-15-x1504za-nj517w-i5-1235u"
"1","Laptop Acer Aspire Lite AL16-51P-55N7 i5 1235U/16GB/512GB/16\" WUXGA/Win11","","13690000","/may-tinh-xach-tay/acer-aspire-lite-al16-51p-55n7"
"2","Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","","19490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx"
"3","Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14\" FHD/Win11","","12290000","/may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u"
"4","Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","16490000","/may-tinh-xach-tay/dell-inspiron-n3520-i5-1235u-i5-1235ui5u165w11blu-fp"
"5","Laptop Acer Aspire 3 A315-44P-R5QG R7 5700U/16GB/512GB/15.6\"FHD/Win11","","12290000","/may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u"
"6","Laptop Asus Gaming Vivobook K3605ZF-RP634W i5-12500H/16GB/512GB/16\"/Nvidia GeForce RTX2050 4GB/Win11","","16990000","/may-tinh-xach-tay/asus-gaming-vivobook-k3605zf-rp634w-i5-12500h"
"7","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/24GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","","20490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-ai-24gb"
"8","Laptop Lenovo Gaming LOQ 15ARP9 R5-7235HS/12GB/512GB/15.6FHD/RTX3050 6GB/Win11","","19490000","/may-tinh-xach-tay/lenovo-gaming-loq-15arp9-r5-7235hs-83jc007hvn"
"9","Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W i5-12500H/16GB/512GB/14\" 2.8K/Win11","","15790000","/may-tinh-xach-tay/asus-vivobook-14-oled-a1405za-km264w"
"10","Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/15.6\"FHD/Win11/Office HS24/OS365","","21490000","/may-tinh-xach-tay/dell-inspiron-15-n3530-i7-1355u-n5i7305w1"
"11","Laptop HP Pavilion 15-eg3111TU i5 1335U/16GB/512GB/15.6'FHD/Win11","","17490000","/may-tinh-xach-tay/hp-pavilion-15-eg3111tu-i5-1335u"
"12","Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14'FHD/AMD Radeon Graphics/Win11","","12490000","/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u"
"13","Laptop Dell Inspiron N3530 i5 1334U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","18490000","/may-tinh-xach-tay/dell-inspiron-n3530-i5-1334u-71043885"
"14","Laptop Acer Aspire Lite AL14-52M-54CJ i5 1334U/16GB/512GB/14\"FHD+/Win11","","14990000","/may-tinh-xach-tay/acer-aspire-lite-al14-52m-54cj"
"15","Laptop HP 15-fd0235TU i5 1334U/16GB/512GB SSD/15.6\"FHD//Win11","","15490000","/may-tinh-xach-tay/hp-15-fd0235tu-i5-1334u"
"16","Laptop HP 14s-dq5121TU i3 1215U/8GB/512GB/14'FHD/Win11","","9490000","/may-tinh-xach-tay/hp-14s-dq5121tu-i3-1215u"
"17","Laptop Asus Vivobook X1504VA-NJ526W i5 1335U/16GB/512GB SSD/15.6\" FHD/Win11","","15490000","/may-tinh-xach-tay/asus-vivobook-x1504va-nj526w-i5-1335u"
"18","Laptop Acer Aspire 7 A715-76-53PJ i5 12450H/16GB/512GB/15.6\"FHD/Win11","","13890000","/may-tinh-xach-tay/acer-aspire-7-a715-76-53pj-i5-12450h"
"19","Laptop HP 15-fc0089AU R7-7730U/16GB/512GB/15.6\"FHD/AMD Radeon/Win11_A94XWPA","","15490000","/may-tinh-xach-tay/hp-15-fc0089au-a94xwpa-r7-7730u"
"20","Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS24/OS365","","16490000","/may-tinh-xach-tay/dell-inspiron-15-3520-i5-1235u-71061229"
"21","Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6\"FHD/RTX3050 6GB/Win11","","21190000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-12gb-rtx3050"
"22","Laptop MSI Gaming Katana 15 B13UDXK-2213VN i5 13500H/16GB/1TB/15.6\"FHD/RTX3050 6GB/Win11_Balo","","20990000","/may-tinh-xach-tay/msi-gaming-katana-15-b13udxk-2213vn-i5-13500h"
"23","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/24GB/512GB/15.6\"FHD/RTX4050_6GB/Win11","","26490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-24gb-512gb"
"24","Laptop Acer Swift X SFX16-51G-516Q i5 11320H/16GB/512GB/16.1'FHD/Nvidia RTX3050 4GB/Win11","","17990000","/may-tinh-xach-tay/acer-swift-x-sfx16-51g-516q-i5-11320h"
"25","Laptop Acer Aspire 7 Gaming A715-76G-73FM i7 12650H/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","","17490000","/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-73fm-i7-12650h"
"26","Laptop Lenovo V15 G4 IRU i5 13420H/16GB/512GB/15.6\"FHD/Win 11","","14990000","/may-tinh-xach-tay/lenovo-v15-g4-iru-i5-13420h-16gb"
"27","Laptop Acer Aspire Lite 16 AL16-51P-72S2 i7 1255U/16GB/512GB/16\"FHD/Win11","","15990000","/may-tinh-xach-tay/acer-aspire-lite-16-al16-51p-72s2-i7-1255u"
"28","Laptop Lenovo Ideapad Slim 3 - 15ABR8 R5 5625U/16GB/512GB/15.6\"FHD/Win 11","","12190000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-15abr8-82xm00mdvn"
"29","Laptop Acer Aspire 7 Gaming A715-76G-59MW i5 12450H/8GB/512GB/15.6\"FHD/Nvidia RTX2050 4GB/Win11","","15990000","/may-tinh-xach-tay/acer-aspire-7-a715-76g-59mw-i5-12450h"
"30","Laptop Asus TUF Gaming A15 FA506NCR-HN047W R7-7435HS/16GB/512GB/15.6\" 144Hz/Nvidia GeForce RTX3050 4GB/Win 11","","19490000","/may-tinh-xach-tay/asus-tuf-gaming-a15-fa506ncr-hn047w-r7-7435hs"
"31","Laptop Asus Vivobook X1404ZA-NK387W i3 1215U/8GB/512GB/14\" FHD/Win11","","9990000","/may-tinh-xach-tay/asus-vivobook-x1404za-nk387w-i3-1215u"
"32","Laptop MSI Gaming Thin A15 B7UCX-240VN R5-7535HS/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11_Balo","","15490000","/may-tinh-xach-tay/msi-gaming-thin-a15-b7ucx-240vn-r5-7535hs"
"33","Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS24/OS365","","16490000","/may-tinh-xach-tay/dell-inspiron-15-3520-i5-1235u-71061229"
"34","Laptop Acer Aspire 7 Gaming A715-76G-5806 i5 12450H/16GB/512GB/NVIDIA RTX3050 4GB/Win11","","18990000","/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-5806-i5-12450h"
"35","Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6\"FHD/RTX3050 6GB/Win11","","21190000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-12gb-rtx3050"
"36","Laptop MSI Gaming Katana 15 B13UDXK-2213VN i5 13500H/16GB/1TB/15.6\"FHD/RTX3050 6GB/Win11_Balo","","20990000","/may-tinh-xach-tay/msi-gaming-katana-15-b13udxk-2213vn-i5-13500h"
"37","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/24GB/512GB/15.6\"FHD/RTX4050_6GB/Win11","","26490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-24gb-512gb"
"38","Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","16490000","/may-tinh-xach-tay/dell-inspiron-15-3520-i5-1235u-u165w11slu"
"39","Laptop Acer Swift X SFX16-51G-516Q i5 11320H/16GB/512GB/16.1'FHD/Nvidia RTX3050 4GB/Win11","","17990000","/may-tinh-xach-tay/acer-swift-x-sfx16-51g-516q-i5-11320h"
"40","Laptop Acer Aspire 7 Gaming A715-76G-73FM i7 12650H/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","","17490000","/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-73fm-i7-12650h"
"41","Laptop Lenovo IdeaPad Slim 3 14IRH10 i5-13420H/24GB/512GB/14\" WUXGA/Win 11","","16490000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-14irh10-83k0000avn"
"42","Laptop Lenovo V15 G4 IRU i5 13420H/16GB/512GB/15.6\"FHD/Win 11","","14990000","/may-tinh-xach-tay/lenovo-v15-g4-iru-i5-13420h-16gb"
"43","Laptop Acer Aspire Lite 16 AL16-51P-72S2 i7 1255U/16GB/512GB/16\"FHD/Win11","","15990000","/may-tinh-xach-tay/acer-aspire-lite-16-al16-51p-72s2-i7-1255u"
"44","Laptop Asus TUF Gaming FA507NUR-LP101W R7-7435HS/16GB/512GB/15.6\"/GeForce RTX4050 6GB/Win11","","23990000","/may-tinh-xach-tay/asus-tuf-gaming-fa507nur-lp101w-r7-7435hs"
"45","Laptop Lenovo Ideapad Slim 3 - 15ABR8 R5 5625U/16GB/512GB/15.6\"FHD/Win 11","","12190000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-15abr8-82xm00mdvn"
"46","Laptop Acer Aspire 7 Gaming A715-76G-59MW i5 12450H/8GB/512GB/15.6\"FHD/Nvidia RTX2050 4GB/Win11","","15990000","/may-tinh-xach-tay/acer-aspire-7-a715-76g-59mw-i5-12450h"
"47","Laptop Acer Nitro 5 Tiger Gaming AN515-58-52SP i5 12500H/8GB/512GB SSD/GeForce RTX 3050 4GB/Win11","","18990000","/may-tinh-xach-tay/acer-nitro-gaming-an515-58-52sp-i5-12500h"
"48","Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","16490000","/may-tinh-xach-tay/dell-inspiron-15-3520-i5-1235u-u165w11slu"
"49","Laptop Lenovo IdeaPad Slim 3 14IRH10 i5-13420H/24GB/512GB/14\" WUXGA/Win 11","","16490000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-14irh10-83k0000avn"
"50","Laptop Asus TUF Gaming FA507NUR-LP101W R7-7435HS/16GB/512GB/15.6\"/GeForce RTX4050 6GB/Win11","","23990000","/may-tinh-xach-tay/asus-tuf-gaming-fa507nur-lp101w-r7-7435hs"
"51","Laptop Acer Nitro 5 Tiger Gaming AN515-58-52SP i5 12500H/8GB/512GB SSD/GeForce RTX 3050 4GB/Win11","","18990000","/may-tinh-xach-tay/acer-nitro-gaming-an515-58-52sp-i5-12500h"
"52","Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/512GB/15.6\" FHD/Win 11","","17190000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-15irh8-i7-13620h"
"53","Laptop Asus Vivobook 14 A1407CA-LY008WS Ultra 5-225H/AI/16GB/512GB/14\" WUXGA/Win11/Office HS24/OS365","","21490000","/may-tinh-xach-tay/asus-vivobook-14-a1407ca-ly008ws"
"54","Laptop Asus Vivobook 16 M1607KA-MB091WS Ryzen AI 7 350/16GB/512GB/16\" WUXGA/Win11/Office HS24/OS365","","21990000","/may-tinh-xach-tay/asus-vivobook-16-m1607ka-mb091ws"
"55","Laptop Lenovo Ideapad 1 - 14ALC7 R5 5625U/16GB/512GB/14.0\" FHD/Win 11","","11490000","/may-tinh-xach-tay/lenovo-ideapad-1-14alc7-r5-5625u-82r30099vn"
"56","MacBook Air 13 inch M2 2022 8CPU 8GPU 8GB/256GB","","21490000","/may-tinh-xach-tay/macbook-air-m2-2022-13-inch"
"57","Laptop Acer Nitro V Gaming ANV15-51-53NE i5 13420H/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","","18990000","/may-tinh-xach-tay/acer-nitro-v-gaming-anv15-51-53ne-i5-13420h"
"58","Laptop Acer Nitro 5 Tiger Gaming AN515-58-773Y i7 12700H/16GB/512GB/15.6\"FHD/NVIDIA GeForce RTX3050Ti 4GB/Win11","","23490000","/may-tinh-xach-tay/acer-nitro-5-tiger-gaming-an515-58-773y-i7-12700h"
"59","MacBook Air 13 M3 2024 8CPU/8GPU/16GB/256GB","","26990000","/may-tinh-xach-tay/macbook-air-m3-13-2024-8cpu-8gpu-16gb-256gb"
"60","Laptop MSI Gaming Katana 15 B13VFK-2099VN i7 13620H/AI/32GB/1TB/15.6\"FHD/RTX4060 8GB/W11_Balo","","27990000","/may-tinh-xach-tay/msi-gaming-katana-15-b13vfk-2099vn-i7-13620h"
"61","Laptop HP 245 G10 (A20TFPT) R5-7530U/16GB/256GB/14\" FHD/Win11","","12490000","/may-tinh-xach-tay/hp-245-g10-a20tfpt-r5-7530u"
"62","MacBook Air 13 inch M1 2020 8CPU 7GPU 8GB/256GB","","17490000","/may-tinh-xach-tay/macbook-air-13-2020-m1-256gb"
"63","Laptop Asus Vivobook 15 OLED A1505VA-MA466W i5-13500H/16GB/512GB/15.6'' 2.8K/Win11","","17490000","/may-tinh-xach-tay/asus-vivobook-15-oled-a1505va-ma466w-i-5-13500h"
"64","Laptop Gigabyte Gaming G5 MF5-H2VN353KH i7 13620H/16GB/512GB/15.6\" FHD/RTX4050 6GB/Win 11","","22990000","/may-tinh-xach-tay/gigabyte-gaming-g5-mf5-h2vn353kh-i7-13620h"
"65","Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/512GB/15.6\" FHD/Win 11","","17190000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-15irh8-i7-13620h"
"66","Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","16490000","/may-tinh-xach-tay/dell-inspiron-n3520-i5-1235u-71045026"
"67","Laptop Acer Gaming Aspire 5 A515-58GM-53PZ i5 13420H/8GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","","15790000","/may-tinh-xach-tay/acer-gaming-aspire-5-a515-58gm-53pz-i5-13420h"
"68","Laptop Acer Swift Lite 14 AI SFL14-51M-56HS Ultra5 125U/16GB/512GB/Win11","","18990000","/may-tinh-xach-tay/acer-swift-lite-14-ai-sfl14-51m-56hs-u5-125u"
"69","Laptop Gigabyte Gaming G5 KF5-53VN353SH i5-13500H/AI/16GB/512GB/15.6\"FHD/RTX4060 8GB/Win11","","22590000","/may-tinh-xach-tay/gigabyte-gaming-g5-kf5-53vn353sh-i5-13500h"
"70","Laptop MSI Gaming Katana 15 B13VFK-676VN i7 13620H/AI/16GB/1TB/Geforce RTX 4060 8GB/15.6\"FHD/Win11_Balo","","25990000","/may-tinh-xach-tay/msi-gaming-katana-15-b13vfk-676vn-i7-13620h"
"71","Laptop Asus Vivobook 14 A1407CA-LY008WS Ultra 5-225H/AI/16GB/512GB/14\" WUXGA/Win11/Office HS24/OS365","","21490000","/may-tinh-xach-tay/asus-vivobook-14-a1407ca-ly008ws"
"72","Laptop Asus Vivobook 16 M1607KA-MB091WS Ryzen AI 7 350/16GB/512GB/16\" WUXGA/Win11/Office HS24/OS365","","21990000","/may-tinh-xach-tay/asus-vivobook-16-m1607ka-mb091ws"
"73","Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/15.6\" FHD/Win11/Office HS24/OS365","","21490000","/may-tinh-xach-tay/dell-inspiron-15-3530-71053721"
"74","Laptop Lenovo Ideapad 1 - 14ALC7 R5 5625U/16GB/512GB/14.0\" FHD/Win 11","","11490000","/may-tinh-xach-tay/lenovo-ideapad-1-14alc7-r5-5625u-82r30099vn"
"75","Laptop Gigabyte Gaming G5 MF5-52VN353SH i5 13500H/16GB/512GB/15.6\"FHD/RTX4050_6GB/Win11","","20190000","/may-tinh-xach-tay/gigabyte-gaming-g5-mf5-52vn353sh-i5-13500h"
"76","Laptop Dell Latitude L3540 i5 1235U/16GB/512GB/15.6\" FHD/Win11","","16990000","/may-tinh-xach-tay/dell-latitude-l3540-i5-1235u-71038100"
"77","MacBook Air 13 inch M2 2022 8CPU 8GPU 8GB/256GB","","21490000","/may-tinh-xach-tay/macbook-air-m2-2022-13-inch"
"78","Laptop Acer Nitro V Gaming ANV15-51-53NE i5 13420H/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","","18990000","/may-tinh-xach-tay/acer-nitro-v-gaming-anv15-51-53ne-i5-13420h"
"79","Laptop Acer Nitro 5 Tiger Gaming AN515-58-773Y i7 12700H/16GB/512GB/15.6\"FHD/NVIDIA GeForce RTX3050Ti 4GB/Win11","","23490000","/may-tinh-xach-tay/acer-nitro-5-tiger-gaming-an515-58-773y-i7-12700h"
"80","Laptop Acer Swift Lite 14 AI SFL14-51M-56HS Ultra5 125U/16GB/512GB/Win11","","18990000","/may-tinh-xach-tay/acer-swift-lite-14-ai-sfl14-51m-56hs-u5-125u"
"81","Laptop Gigabyte Gaming G5 KF5-53VN353SH i5-13500H/AI/16GB/512GB/15.6\"FHD/RTX4060 8GB/Win11","","22590000","/may-tinh-xach-tay/gigabyte-gaming-g5-kf5-53vn353sh-i5-13500h"
"82","Laptop Acer Nitro 5 Tiger Gaming AN515-58-773Y i7 12700H/16GB/512GB/15.6\"FHD/NVIDIA GeForce RTX3050Ti 4GB/Win11","","23490000","/may-tinh-xach-tay/acer-nitro-5-tiger-gaming-an515-58-773y-i7-12700h"
"83","Laptop MSI Gaming Katana 15 B13VFK-676VN i7 13620H/AI/16GB/1TB/Geforce RTX 4060 8GB/15.6\"FHD/Win11_Balo","","25990000","/may-tinh-xach-tay/msi-gaming-katana-15-b13vfk-676vn-i7-13620h"
"84","Laptop MSI Gaming Katana 15 B13VFK-2099VN i7 13620H/AI/32GB/1TB/15.6\"FHD/RTX4060 8GB/W11_Balo","","27990000","/may-tinh-xach-tay/msi-gaming-katana-15-b13vfk-2099vn-i7-13620h"
"85","Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/15.6\" FHD/Win11/Office HS24/OS365","","21490000","/may-tinh-xach-tay/dell-inspiron-15-3530-71053721"
"86","Laptop Gigabyte Gaming G5 MF5-52VN353SH i5 13500H/16GB/512GB/15.6\"FHD/RTX4050_6GB/Win11","","20190000","/may-tinh-xach-tay/gigabyte-gaming-g5-mf5-52vn353sh-i5-13500h"
"87","Laptop Acer Swift 3 SF314-512-741L i7 1260P/16GB/1T/14\" QHD/Win11","","18990000","/may-tinh-xach-tay/acer-swift-3-sf314-512-741l-i7-1260p"
"88","Laptop Dell Latitude L3540 i5 1235U/16GB/512GB/15.6\" FHD/Win11","","16990000","/may-tinh-xach-tay/dell-latitude-l3540-i5-1235u-71038100"
"89","Macbook Air 13 M2 2024 8CPU/8GPU/16GB/256GB","","23890000","/may-tinh-xach-tay/macbook-air-m2-13-2024-8cpu-8gpu-16gb-256gb"
"90","Laptop Dell Vostro V3520 i5-1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","15990000","/may-tinh-xach-tay/dell-vostro-15-3520-i5-1235u-i5u165w11gru"
"91","Laptop MSI Gaming Cyborg 14 A13UDX-099VN i7-13620H/16GB/512GB/14\" FHD/RTX3050 6GB/W11_Balo","","24990000","/may-tinh-xach-tay/msi-gaming-cyborg-14-a13udx-099vn-i7-13620h"
"92","Laptop Dell Vostro V3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","16490000","/may-tinh-xach-tay/dell-vostro-v3520-i5-1235u"
"93","Laptop Lenovo ThinkPad T14 Gen 4 R5 PRO 7540U/32GB/512GB/14''WUXGA/Win 11 PRO","","23490000","/may-tinh-xach-tay/lenovo-thinkpad-t14-gen-4-21k3006wvn"
"94","Laptop Lenovo ThinkBook 14 G6 IRL I5 13420H/16GB/512GB/14\" WUXGA/Win 11","","18290000","/may-tinh-xach-tay/lenovo-thinkbook-14-g6-irl-i5-13420h"
"95","Laptop HP Gaming Victus 16-r0127TX i7-13700H/AI/16GB/512GB/16.1\" 144Hz/GeForce RTX4060 8GB/Win11_8C5N2PA","","32990000","/may-tinh-xach-tay/hp-victus-16-r0127tx-8c5n2pa-i7-13700h"
"96","Laptop Dell Vostro V3520 i5-1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","15990000","/may-tinh-xach-tay/dell-vostro-15-3520-i5-1235u-i5u165w11gru"
"97","Laptop MSI Gaming Cyborg 14 A13UDX-099VN i7-13620H/16GB/512GB/14\" FHD/RTX3050 6GB/W11_Balo","","24990000","/may-tinh-xach-tay/msi-gaming-cyborg-14-a13udx-099vn-i7-13620h"
"98","Laptop Huawei MateBook D15 R7 5700U/8GB/512GB/15.6\"FHD/Win11","","10490000","/may-tinh-xach-tay/huawei-bom-wfp9i-matebook-d15-r7-5700u"
"99","Laptop HP Gaming Victus 16-r0127TX i7-13700H/AI/16GB/512GB/16.1\" 144Hz/GeForce RTX4060 8GB/Win11_8C5N2PA","","32990000","/may-tinh-xach-tay/hp-victus-16-r0127tx-8c5n2pa-i7-13700h"
"100","Laptop Gigabyte Gaming G5 MF5-H2PH353KH i7 13620H/16GB/512GB/15.6\" FHD/RTX4050 6GB/Win 11","","22990000","/may-tinh-xach-tay/gigabyte-gaming-g5-mf5-h2ph353kh-i7-13620h"
"102","Laptop MSI Modern 14 C7M-221VN R7 7730U/8GB/512GB/14\" FHD IPS/Win 11","","10190000","/may-tinh-xach-tay/msii-modern-14-c7m-221vn-r7-7730u"
"103","Laptop Lenovo ThinkPad E14 Gen 6 Ultra 5 125U/AI/16GB/512GB/14\"WUXGA/Win 11","","21990000","/may-tinh-xach-tay/lenovo-thinkpad-e14-gen-6-21m7004jvn"
"104","Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H/AI/16GB/512GB/14\"WUXGA/OLED/Win 11","","20990000","/may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-5-125h"
"105","Laptop Lenovo IdeaPad Slim 5 14Q8X9 X1P-42-100/AI/16GB/512GB/14\"WUXGA OLED/Win11","","19990000","/may-tinh-xach-tay/lenovo-ideapad-slim-5-14q8x9-83hl000kvn"
"106","Laptop Acer Swift Go SFG14-41-R19Z R5 7530U/16GB/512GB/14\"FHD/Win11","","15990000","/may-tinh-xach-tay/acer-swift-go-sfg14-41-r19z-r5-7530u"
"107","Macbook Air M2 13 inch 2022 8CPU 10GPU/16GB/256GB","","25990000","/may-tinh-xach-tay/macbook-air-m2-13-inch-2022-8cpu-10gpu-16gb-256gb"
"108","Laptop HP 15-fd1060TU Core Ultra 7-155H/AI/16GB/512GB/15.6\"FHD/Win 11","","22490000","/may-tinh-xach-tay/hp-15-fd1060tu-core-ultra-7-155h"
"109","Laptop Acer Swift Go AI SFG14-73-53X7 Intel Core Ultra 5 125H/16GB/512GB/14\" 2.8K/Intel Arc Graphics/Win11","","23290000","/may-tinh-xach-tay/acer-swift-so-ai-sfg14-73-53x7-ultra-5-125h"
"110","Laptop Asus TUF Gaming FA507NVR-LP091W R7-7435HS/AI/16GB/512GB/15.6\" 144Hz/GeForce RTX4060 8GB/Win11","","26490000","/may-tinh-xach-tay/asus-tuf-gaming-fa507nvr-lp091w-r7-7435hs"
"111","Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","16490000","/may-tinh-xach-tay/dell-inspiron-n3520-i5-1235u-n5i5203w1"
"112","Laptop MSI Modern 14 H D13MG-217VN i7-13700H/16GB/1TB/14” FHD+/Win11_Túi","","17490000","/may-tinh-xach-tay/msi-modern-14-h-d13mg-217vn-i7-13700h"
"113","Laptop ASUS Vivobook 15 OLED A1505VA-MA469W i9-13900H/16GB/512GB/15.6\" 2.8K/Win11","","22990000","/may-tinh-xach-tay/asus-vivobook-15-oled-a1505va-ma469w-i9-13900h"
"114","Laptop MSI Gaming Cyborg 15 A12UC-621VN i5 12450H/16GB/512GB/15.6\"FHD/RTX3050 4GB/Win11_Balo","","16990000","/may-tinh-xach-tay/msi-gaming-cyborg-15-a12uc-621vn-i5-12450h"
"115","Laptop Dell Vostro 15 V3530 i5 1335U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","18490000","/may-tinh-xach-tay/dell-vostro-15-3530-i5-1335u"
"116","Laptop HP Envy x360 14-fc0162TU Core Ultra 5-125U/AI/16GB/512GB/14'' Touch 2.8K OLED/Pen/Win11/Office HS21","","27990000","/may-tinh-xach-tay/hp-envy-x360-14-fc01062tu-core-ultra-5-125u-ay8x1pa"
"117","Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 7-155H/AI/16GB/512G/14\"WUXGA/OLED/Win 11","","24990000","/may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-7-155h"
