'local_id','Công nghệ CPU','Số nhân','Số luồng','Tốc độ CPU','Tốc độ tối đa','RAM','Loại RAM','Tốc độ Bus RAM','Hỗ trợ RAM tối đa','Ổ cứng','Màn hình','Độ phân giải','Tần số quét','Độ phủ màu','Công nghệ màn hình','Card màn hình','Công nghệ âm thanh','Cổng giao tiếp','Kết nối không dây','Webcam','Đèn bàn phím','Kích thước','Chất liệu','Thông tin Pin','Hệ điều hành','Thời điểm ra mắt','Khe đọc thẻ nhớ','Tính năng khác','Tản nhiệt','Màn hình cảm ứng','NPU','Hiệu năng xử lý AI (TOPS)'
'334996','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325691','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333104','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322270','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322072','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'311176','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325500','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322222','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'310449','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333427','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327050','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328237','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329853','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326861','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'321467','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334795','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'282827','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333102','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336036','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'318163','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328906','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331644','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330932','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322082','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335170','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333103','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'317704','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'314630','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328814','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334446','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326279','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330162','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326830','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325247','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'321436','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322073','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'323325','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326876','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327097','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326122','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'312414','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'317712','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'311177','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332369','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327707','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334794','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'272282','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325479','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325242','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329858','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334449','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334689','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333423','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326831','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'316941','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327872','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330075','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334450','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328235','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331506','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322100','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336967','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328949','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325953','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335554','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325480','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'338207','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'302209','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'308697','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327898','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325306','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'309565','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328950','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327051','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327980','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326637','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331518','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325588','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'338204','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337470','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327977','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'304543','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'313333','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330578','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337420','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'323335','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334999','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'302533','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'310447','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334805','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'338000','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334690','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'321468','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333424','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325697','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335553','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328951','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328443','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322003','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328304','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333107','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337042','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337476','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'314849','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333421','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327974','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327899','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330169','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'311145','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337044','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327506','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329787','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326863','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327405','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335171','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333425','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327409','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'323746','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326641','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336031','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'323587','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'338206','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329789','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331508','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'315906','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337471','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327981','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334441','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'313177','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'320431','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332367','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328815','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322959','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'315909','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329429','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328946','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328473','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'313627','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327896','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'317709','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326059','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'313332','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325586','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328947','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'319657','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327507','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331749','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325699','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327710','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'313973','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326823','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333101','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326280','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328945','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330165','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334440','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326574','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329786','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327508','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329867','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333098','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'311117','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329075','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328135','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335555','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327509','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'303835','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327900','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322949','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328239','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326829','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322070','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322568','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325050','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'318354','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'321193','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328944','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325512','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333094','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332370','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327408','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327406','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330579','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331514','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325051','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332364','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322098','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322099','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328474','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327901','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326723','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326497','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327902','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333099','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329337','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325575','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325002','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332397','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329852','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334796','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329736','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325244','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'309243','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326864','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328130','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325583','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334802','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'320434','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328134','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332579','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332368','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327982','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334799','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326558','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327401','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333095','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334803','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332398','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327049','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326496','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326640','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'338280','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322269','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'305009','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335010','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334797','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327907','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'324821','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'324340','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335112','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'323585','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328131','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334800','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335113','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335172','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329111','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334798','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'305008','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329112','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332352','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335015','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333197','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333195','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'315892','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333106','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'321059','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332350','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331564','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335372','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331568','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335366','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331577','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337469','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331566','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332448','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331569','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332450','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331527','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335181','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335180','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328599','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332451','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331575','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335550','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'323337','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335834','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331986','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331570','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334444','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333873','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336445','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333813','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334692','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335829','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335179','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'315955','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'323586','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'323338','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335835','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331507','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331522','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333811','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331523','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332274','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331526','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333187','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333196','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333872','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333812','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333814','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334806','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334804','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334694','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335182','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335548','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335549','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335964','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335963','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335832','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335966','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336447','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336444','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336443','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337234','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337040','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337239','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337240','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337236','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335968','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337241','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336035','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337841','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337242','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337473','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337842','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337843','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337844','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'338279','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
